rotten_tomatoes_link,movie_title,content_rating,genre,directors,original_release_date,streaming_release_date,runtime,production_company,audience_rating,audience_count
m/10004288-running_scared,Running Scared,R,ACTION & ADVENTURE,Wayne Kramer,2006-02-24,2008-10-01,121,New Line Cinema,79,135400
m/10004352-going_the_distance,Going the Distance,R,COMEDY,Mark Griffiths,2004-08-20,2017-03-10,93,Séville Pictures,61,13033
m/10004504-ultraviolet,Ultraviolet,PG-13,ACTION & ADVENTURE,Kurt Wimmer,2006-03-03,2012-04-16,88,Sony Pictures,30,279994
m/10004635-home_of_the_brave,Home of the Brave,R,ACTION & ADVENTURE,Paola di Florio,2004-05-11,2016-04-03,75,Emerging Pictures,48,866
m/10004659-arthur,Arthur and the Invisibles (Arthur and the Minimoys),PG,SCIENCE FICTION & FANTASY,Luc Besson,2007-01-12,2016-08-10,94,MGM,56,134483
m/10004684-malevolence,Malevolence,R,HORROR,Stevan Mena,2004-09-10,2017-03-30,90,Anchor Bay Entertainment,83,2622
m/10004697-eternal,Eternal,R,HORROR,"Wilhelm Liebenberg, Federico Sanchez",2004-08-26,2016-09-23,108,Regent Releasing,39,1295
m/10004835-farewell_to_arms,A Farewell To Arms,NR,DRAMA,"Charles Vidor, John Hudson, John Huston",1957-12-14,2012-09-18,150,Fox,37,1460
m/10004890-narrow_margin,The Narrow Margin,NR,DRAMA,Richard Fleischer,1952-05-04,2012-08-20,71,Warner Home Video,88,1135
m/10004925-matador,The Matador,R,ACTION & ADVENTURE,"Bob Yari, Richard Shepard",2006-01-27,2016-11-18,97,The Weinstein Company,65,73701
m/10005057-smile,Smile,PG-13,COMEDY,"Jeff Kramer, Jeffrey Kramer",2005-04-08,2016-11-18,107,Dark Forest Releasing,66,2059
m/10005104-intruder,The Intruder (L'Intrus),G,DRAMA,Claire Denis,2005-12-23,2006-04-25,130,Wellspring,73,9701
m/10005178-saint_ralph,Saint Ralph,PG-13,COMEDY,Michael McGowan,2005-08-05,2017-05-11,98,IDP,85,6203
m/10005403-the_baxter,The Baxter,PG-13,COMEDY,Michael Showalter,2005-08-26,2018-07-02,91,IFC Films,75,7436
m/10005499-oliver_twist,Oliver Twist,PG-13,DRAMA,Roman Polanski,2005-09-30,2012-04-16,130,Sony Pictures,63,23294
m/1000560-alamo,The Alamo,NR,ACTION & ADVENTURE,John Wayne,1960-10-24,2016-11-30,192,Batjac Productions,63,7337
m/10005755-g,G,R,DRAMA,Christopher Scott Cherot,2005-09-16,2018-04-10,96,Slow Hand Cinema,60,1143
m/1000581-alfie,Alfie,PG,COMEDY,Lewis Gilbert,1966-08-24,2013-08-01,114,Paramount Pictures,76,14669
m/10005819-10005819-neverwas,Neverwas,PG-13,DRAMA,Joshua Michael Stern,2005-09-09,2016-04-19,102,Senator Film,65,4059
m/10006007-the_second_chance,The Second Chance,PG-13,DRAMA,Steve Taylor,2006-02-17,2006-07-18,104,Sony Pictures,78,79542
m/10006057-moonlight,Moonlight,R,DRAMA,Paula Van der Oest,2003-10-17,2020-03-13,90,Indican Pictures,67,1430
m/1000617-aliens,Aliens,R,ACTION & ADVENTURE,James Cameron,1986-07-18,2015-11-25,137,20th Century Fox,94,429674
m/10006188-rise,Rise: Blood Hunter,R,HORROR,Sebastian Gutierrez,2007-06-01,2016-11-01,97,IDP Distribution,20,8239
m/1000626-all_about_eve,All About Eve,PG,DRAMA,Joseph L. Mankiewicz,1950-01-01,2015-11-25,138,20th Century Fox,94,45248
m/10006270,When Do We Eat?,R,COMEDY,Salvador Litvak,2006-04-07,2017-05-22,87,ThinkFilm,68,1121
m/10006324,The Mostly Unfabulous Social Life of Ethan Green,R,COMEDY,George Bamber,2006-06-16,2017-02-02,88,Regent Releasing,58,2394
m/10006343-dirty,Dirty,R,DRAMA,Chris Fisher,2006-02-24,2012-04-16,97,SNP Inc.,42,7326
m/10006370-stay_alive,Stay Alive,PG-13,HORROR,William Brent Bell,2006-03-24,2016-08-09,85,Buena Vista,55,113424
m/1000640-all_of_me,All of Me,PG,COMEDY,Carl Reiner,1984-09-21,2016-10-30,93,HBO Video,67,14346
m/1000643-all_quiet_on_the_western_front,All Quiet on the Western Front,NR,DRAMA,Delbert Mann,,2018-04-16,156,Unknown,69,7588
m/10006434-dreamland,Dreamland,PG-13,DRAMA,Jason Matzner,2006-12-19,2012-04-16,88,Dreamland Motion Picture Co.,65,5650
m/1000654-all_the_kings_men,All the King's Men,PG,DRAMA,Robert Rossen,1949-11-08,2013-05-01,109,Sony Pictures Home Entertainment,78,4866
m/10006780-lost_horizon,Lost Horizon,G,ACTION & ADVENTURE,Charles Jarrott,1973-03-17,2015-12-18,143,RCA Video,45,455
m/10006848-the_motel,The Motel,NR,COMEDY,Michael Kang,2005-06-28,2017-03-17,76,Palm Pictures,64,4038
m/10006856-requiem,Requiem,NR,DRAMA,Hans-Christian Schmid,2006-10-20,2017-03-23,92,IFC First Take,66,4728
m/10006940-silk,Gui si (Silk),PG-13,HORROR,Chao-Bin Su,2006-05-24,2015-02-12,117,,57,2531
m/10007139-park,Park,R,COMEDY,Kurt Voelker,2006-06-12,2017-11-05,86,Mello Pictures,48,684
m/10007142-the_4th_dimension,The 4th Dimension,NR,DRAMA,"Tom Mattera, Dave Mazzoni",2006-04-01,2017-10-09,82,,31,394
m/10007333-bon_cop_bad_cop,"Bon Cop, Bad Cop",R,ACTION & ADVENTURE,Eric Canuel,2006-07-04,2017-05-12,116,Vivafilm,82,20404
m/10007415-amazing_grace,Amazing Grace,PG,DRAMA,Michael Apted,2007-02-23,2015-11-25,116,Samuel Goldwyn Films LLC,85,54320
m/10007538-silence,The Silence,R,ACTION & ADVENTURE,Cate Shortland,,2016-11-18,104,,38,374
m/10007614-gone,Gone,R,HORROR,Ringan Ledwidge,2007-03-09,2014-02-12,88,United International,20,3329
m/10007714-situation,The Situation,R,DRAMA,Philip Haas,2006-10-18,2007-07-31,106,Shadow Distribution,58,2381
m/10007856-four_sheets_to_the_wind,Four Sheets to the Wind,R,DRAMA,Sterlin Harjo,2007-01-22,2016-07-09,81,First Look Home Entertainment,61,519
m/10007886-the_tigers_tail,The Tiger's Tail,R,COMEDY,John Boorman,2006-09-26,2016-07-20,106,Buena Vista,30,660
m/10007893-its_a_boy_girl_thing,It's a Boy Girl Thing,PG-13,COMEDY,Nick Hurran,2006-12-26,2016-11-30,95,Anchor Bay Entertainment,61,30371
m/10007898-slipstream,Slipstream,R,COMEDY,Anthony Hopkins,2007-10-26,2012-04-16,97,Strand Releasing,29,3523
m/10007902-delirious,Delirious,NR,COMEDY,Tom DiCillo,2007-08-15,2020-10-13,107,Peace Arch Films,57,8464
m/10007916_interview,Interview,R,DRAMA,Steve Buscemi,2007-07-13,2012-04-16,84,Sony Classics,55,25860
m/1000792-american_anthem,American Anthem,PG-13,ACTION & ADVENTURE,Albert Magnoli,1986-06-01,2013-12-03,102,Lorimar Home Video,65,1341
m/10007947-ten,The Ten,R,COMEDY,David Wain,2007-01-18,2016-02-26,99,ThinkFilm,40,77951
m/10007985-happening,The Happening,R,DRAMA,M. Night Shyamalan,2008-06-11,2015-11-25,89,20th Century Fox,24,370222
m/10008005-moliere,Molière,PG-13,COMEDY,"Laurent Tirard, Laurent Sivot",2007-07-27,2014-03-09,120,Sony Pictures Classics,79,10937
m/10008126-straightheads,Straightheads (Closure),R,DRAMA,Dan Reed,2007-04-27,2012-05-01,88,Sony Pictures Entertainment,32,4645
m/10008140-borderland,Borderland,R,DRAMA,Zev Berman,2007-11-09,2016-08-10,104,After Dark Films,43,4194
m/10008200-spiral,Spiral,PG-13,DRAMA,"Adam Green, Joel David Moore",2007-01-27,2017-08-13,90,Anchor Bay Entertainment,59,9001
m/10008234-alexandra,Alexandra,NR,DRAMA,Aleksandr Sokurov,2007-05-25,2015-02-11,95,The Cinema Guild,69,1333
m/10008496-pathology,Pathology,R,DRAMA,"Marc Scholermann, Marc Schoelermann",2008-04-18,2017-01-17,93,MGM,39,49454
m/10008502-christmas_carol,Disney's A Christmas Carol,PG,DRAMA,Robert Zemeckis,2009-11-06,2015-11-23,95,Walt Disney Studios,58,776189
m/10008562-road_to_victory,Road to Victory,NR,DRAMA,Mike Reilly,2007-03-18,2016-07-11,99,Vanguard,78,89
m/10008587-beverly_hills_chihuahua,Beverly Hills Chihuahua,PG,COMEDY,Raja Gosnell,2008-09-30,2015-12-13,91,Walt Disney Pictures,52,186570
m/10008601-fireflies_in_the_garden,Fireflies in the Garden,R,DRAMA,Dennis Lee (III),2011-10-14,2014-01-09,98,Senator Entertainment,45,45155
m/10008606-eye,The Eye,PG-13,DRAMA,"David Moreau, Xavier Palud",2008-02-01,2016-11-09,97,Lionsgate Films,43,303458
m/10008607-day_of_the_dead,Day of the Dead,R,HORROR,Steve Miner,2008-04-01,2016-10-07,87,First Look International,22,11098
m/10008611-my_best_friends_girl,My Best Friend's Girl,R,COMEDY,Howard Deutch,2008-09-18,2016-09-09,103,Lionsgate,46,86594
m/10008613-burrowers,The Burrowers,R,HORROR,J.T. Petty,2008-09-01,2016-11-07,96,Lions Gate Films,34,10869
m/10008617-midnight_meat_train,The Midnight Meat Train,R,DRAMA,Ryuhei Kitamura,2008-08-14,2016-10-18,100,Lionsgate Films,50,143577
m/10008618-return,The Lucky Ones,R,COMEDY,Neil Burger,2008-09-26,2016-10-06,115,Lionsgate,54,11792
m/10008621-run_fat_boy_run,Run Fatboy Run,PG-13,COMEDY,David Schwimmer,2007-09-07,2010-07-02,100,Picturehouse,64,102884
m/10008652-closing_escrow,Closing Escrow,PG,COMEDY,"Armen Kaprelian, Kent G. Llewellyn, Kent Llewellyn",2007-02-28,2016-08-10,95,Magnolia Pictures,36,1123
m/10008655-whiteout,Whiteout,R,ACTION & ADVENTURE,Dominic Sena,2009-09-11,2011-06-17,101,Warner Bros. Pictures,21,538861
m/10008661-randy_and_the_mob,Randy and the Mob,PG,COMEDY,Ray McKinnon,2007-10-13,2017-05-14,99,Capricorn Pictures,39,288
m/10008667-black_irish,Black Irish,R,DRAMA,Brad Gann,2007-10-26,2020-05-24,94,Anywhere,58,1685
m/10008678-wild_child,Wild Child,PG-13,COMEDY,"Nicholas Moore, Nick Moore",2008-08-14,2014-02-12,98,Universal Pictures,61,17496
m/10008687-powder_blue,Powder Blue,R,DRAMA,Timothy Linh Bui,2009-05-08,2017-04-17,108,Speakeasy Releasing,40,7416
m/10008700-darfur_now,Darfur Now,PG,DRAMA,Ted Braun,2007-11-09,2008-05-27,99,Warner Independent Pictures,73,2308
m/10008701-laaga_chunari_mein_daag,Laaga Chunari Mein Daag - Journey of a Woman,NR,DRAMA,Pradeep Sarkar,2007-10-12,2017-03-02,138,Yash Raj Films,58,3785
m/10008703-rails_and_ties,Rails & Ties,PG-13,DRAMA,Alison Eastwood,2007-10-26,2009-12-31,101,Warner Independent,58,10100
m/10008706-house,House,R,DRAMA,Robby Henson,2008-11-07,2016-10-06,88,Roadside Attractions,27,16715
m/10008744-canvas,Canvas,PG-13,DRAMA,Joseph Greco,2007-10-12,2016-01-26,101,Screen Media Films,62,571
m/10008748-saawariya,Saawariya,PG,DRAMA,Sanjay Leela Bhansali,2007-11-09,2012-05-01,146,Sony Pictures,46,5828
m/10008752-aaja_nachle,Aaja Nachle,NR,DRAMA,Anil Mehta,2007-11-30,2017-03-11,147,Yash Raj Films,72,4354
m/10008754-flawless,Flawless,PG-13,DRAMA,Michael Radford,2008-03-28,2017-02-17,106,Magnolia Pictures,54,12577
m/10008760-what_happens_in_vegas,What Happens in Vegas,PG-13,COMEDY,Tom Vaughan,2008-04-22,2012-09-18,99,20th Century Fox,65,501711
m/10008785-appaloosa,Appaloosa,R,ACTION & ADVENTURE,Ed Harris,2008-10-03,2010-11-02,116,Warner Bros. Pictures,55,55694
m/10008786-good,Good,R,DRAMA,Vicente Amorim,2008-09-08,2016-08-10,96,ThinkFilm,32,41569
m/10008820-visitor,The Visitor,PG-13,DRAMA,,2008-04-25,2017-01-13,103,Overture Films,84,127079
m/10008830-bill,Meet Bill,R,COMEDY,"Melisa Wallack, Bernie Goldmann",2008-04-04,2016-12-12,92,First Look,44,8165
m/10008849-married_life,Married Life,PG-13,COMEDY,Ira Sachs,2008-03-07,2014-02-12,90,Sony Classics,36,5083
m/10008856-badland,Badland,R,DRAMA,Francesco Lucente,2007-11-30,2017-01-19,165,Arcangelo Entertainment,54,294
m/10008924-oxford_murders,The Oxford Murders,R,DRAMA,Álex de la Iglesia,2010-08-06,2017-02-23,110,Magnolia Pictures,33,14554
m/10008954-untraceable,Untraceable,R,DRAMA,Gregory Hoblit,2008-01-25,2012-04-16,101,Sony/Screen Gems,52,225138
m/10008991-informers,The Informers,R,DRAMA,Gregor Jordan,2009-04-24,2012-04-16,98,Senator International,18,18505
m/10009001-the_freshman,The Freshman,PG,COMEDY,Andrew Bergman,1990-07-20,2013-05-01,102,Sony Pictures Home Entertainment,61,11850
m/10009005-a_bloody_aria,Guta-yubalja-deul (A Bloody Aria),NR,DRAMA,Shin-yeon Won,2006-05-31,2017-03-28,115,,40,297
m/10009029-kenny,Kenny,PG-13,COMEDY,Clayton Jacobson,2008-03-21,2020-04-17,100,Xenon Pictures,86,8978
m/10009055-rocker,The Rocker,PG-13,COMEDY,Peter Cattaneo,2008-06-12,2015-11-25,102,Fox Atomic,46,44190
m/10009063-perfect_holiday,The Perfect Holiday,PG-13,ROMANCE,Lance Rivera,2007-12-12,2012-04-16,96,Yari Film Group,52,159645
m/10009066-la_graine_et_le_mulet,La Graine et le Mulet (The Secret of the Grain) (Couscous),NR,DRAMA,Abdel Kechiche,2007-09-03,2017-05-23,151,IFC Films,76,9062
m/10009083-land_of_the_lost,Land of the Lost,PG-13,ACTION & ADVENTURE,"Brad Silberling, Adam McKay",2009-06-05,2015-12-10,102,Universal Pictures,32,542684
m/10009132-rec,[Rec],R,HORROR,"Jaume Balagueró, Paco Plaza",2007-11-23,2012-04-16,78,Odeon Sky Filmworks,82,50437
m/10009138-look,Look,R,COMEDY,Adam Rifkin,2007-12-14,2009-05-05,98,Liberated Artists,56,709
m/1000915-and_god_created_woman,And God Created Woman,R,COMEDY,Roger Vadim,1988-01-01,2016-01-03,98,Vestron Video,33,1598
m/10009151-box,The Box,PG-13,HORROR,Richard Kelly,2009-11-06,2011-08-01,113,Warner Bros. Pictures,24,359098
m/10009169-man_in_the_chair,Man in the Chair,PG-13,COMEDY,Michael Schroeder,2007-12-07,2016-09-27,109,Outsider Films,68,931
m/10009172-undoing,Undoing,R,DRAMA,Chris Chan Lee,2006-06-24,2017-03-29,90,Indican,26,372
m/10009176-black_water,Black Water,R,HORROR,"David Nerlich, Andrew Traucki",2008-02-19,2012-04-16,90,GGrindstone Entertainment Group,39,3952
m/10009192-21,21,PG-13,DRAMA,Robert Luketic,2008-03-28,2012-04-16,122,Sony/Columbia Pictures,66,367852
m/10009210-duchess_of_langeais,The Duchess of Langeais (Ne Touchez Pas La Hache)(Don't Touch the Axe),NR,DRAMA,Jacques Rivette,2007-02-15,2017-04-10,137,IFC First Take,52,865
m/10009212-ben_x,Ben X,NR,DRAMA,Nic Balthazar,2007-09-26,2017-01-25,93,Film Movement,80,6744
m/10009225-body_of_lies,Body of Lies,R,DRAMA,Ridley Scott,2008-10-08,2010-09-01,128,Warner Bros. Pictures,62,130010
m/10009239-passengers,Passengers,PG-13,DRAMA,Rodrigo García,2008-10-24,2014-01-02,92,Sony Pictures/TriStar Pictures,35,29523
m/10009244-the_grand,The Grand,R,COMEDY,Zak Penn,2008-01-11,2015-11-16,104,Anchor Bay Entertainment,43,3058
m/10009253-the_hammer,The Hammer,R,COMEDY,Charles Herman-Wurmfeld,2007-04-26,2016-08-10,93,IFC Films,90,4944
m/10009254-shutter,Shutter,PG-13,HORROR,Masayuki Ochiai,2008-03-19,2016-08-22,85,20th Century Fox,33,241178
m/10009274-priest,Priest,PG-13,ACTION & ADVENTURE,Scott Stewart,2011-05-13,2012-04-16,87,Screen Gems/SONY PICTURES,46,86623
m/10009323-broken,The Broken,R,HORROR,Sean Ellis (II),,2016-12-29,88,After Dark Films,25,2548
m/10009355-sugar,Sugar,R,DRAMA,"Anna Boden, Ryan Fleck",2008-01-21,2012-04-16,118,Sony Classics,80,12642
m/10009420-quid_pro_quo,Quid Pro Quo,R,DRAMA,Carlos Brooks,2008-01-20,2016-08-10,81,Magnolia Pictures,54,1775
m/10009421-red,Red,R,DRAMA,"Trygve Allister Diesen, Lucky McKee",2008-08-08,2016-07-08,95,Magnolia Pictures,68,2607
m/10009426-guitar,The Guitar,R,DRAMA,Amy Redford,2008-11-07,2009-02-10,95,Lightning Media,55,1058
m/10009460-the_road,The Road,R,DRAMA,John Hillcoat,2009-11-25,2012-04-16,110,The Weinstein Company,68,248465
m/10009462-g_force,G-Force,PG,ACTION & ADVENTURE,"Hoyt Yeatman, Hoyt Yeatman IV",2009-07-24,2016-06-30,88,Walt Disney Pictures,39,964669
m/10009469-the_other_man,The Other Man,R,DRAMA,Richard Eyre,2008-12-03,2017-01-04,90,Image Entertainment,18,4522
m/10009493-duchess,The Duchess,PG-13,DRAMA,Saul Dibb,2008-09-05,2017-01-02,109,Paramount Vantage,67,68912
m/10009516-women,The Women,PG-13,COMEDY,Diane English,2008-09-04,2010-11-01,114,Picturehouse Entertainment,38,62045
m/10009526-public_enemies,Public Enemies,R,ACTION & ADVENTURE,Michael Mann,2009-07-01,2015-12-10,140,Universal Studios,59,633778
m/10009547-night_and_day,Night and Day (Bam gua nat),NR,DRAMA,Hong Sang-soo,2009-10-23,,,IFC Films,68,336
m/10009552-julia,Julia,R,DRAMA,Erick Zonca,2009-05-08,2013-11-27,144,Magnolia Pictures,67,17308
m/1000957-angel_and_the_badman,Angel and the Badman,PG,WESTERN,James Edward Grant,1947-02-15,2016-06-30,100,Republic Pictures,67,6982
m/1000959-angel_heart,Angel Heart,R,DRAMA,Alan Parker,1987-03-06,2016-08-10,113,TriStar Pictures,81,30089
m/10009596-old_dogs,Old Dogs,PG,COMEDY,"Walt Becker, Walter Becker",2009-11-25,2016-07-01,88,Walt Disney Pictures,44,182900
m/10009598-surrogates,Surrogates,PG-13,ACTION & ADVENTURE,Jonathan Mostow,2009-09-25,2016-08-10,88,Touchstone Pictures,38,295050
m/10009624-promotion,The Promotion,R,COMEDY,Steven Conrad,2008-03-09,2016-03-05,86,Weinstein Company,28,84738
m/10009632-notorious,Notorious,R,DRAMA,George Tillman Jr.,2009-01-16,2015-11-25,122,Fox Searchlight Pictures,65,97063
m/10009635-soul_men,Soul Men,R,COMEDY,Malcolm D. Lee,2008-11-07,2017-02-14,100,MGM,58,54256
m/10009636-igor,Igor,PG,COMEDY,"Anthony Leondis, Tony Leondis",2008-09-19,2017-04-13,86,MGM,38,82504
m/10009791-auteur,The Auteur,NR,COMEDY,James Westby,2008-01-01,2016-03-15,80,FilmBuff,41,266
m/10009799-caller,The Caller,PG-13,DRAMA,Richard Ledes,2008-09-26,2009-04-14,95,Virgil Films & Entertainment,19,334
m/10009823-sin_nombre,Sin Nombre,R,DRAMA,Cary Joji Fukunaga,2009-03-20,2016-08-10,96,Focus Features,89,21295
m/10009828-house_of_sleeping_beauties,Das Haus der Schlafenden Schönen (House of the Sleeping Beauties),NR,DRAMA,Vadim Glowna,2008-11-14,2009-04-21,99,First Run Features,17,173
m/10009890-stone_angel,The Stone Angel,R,DRAMA,Kari Skogland,2007-09-12,2008-10-21,115,Vivendi Entertainment,58,3026
m/10009926-alvin_and_the_chipmunks_2,Alvin and the Chipmunks: The Squeakquel,PG,COMEDY,Betty Thomas,2009-12-23,2015-11-25,89,20th Century Fox,49,368619
m/10009929-a_christmas_tale,Un Conte de Noël (A Christmas Tale),NR,COMEDY,Arnaud Desplechin,2008-11-14,2016-10-15,150,IFC Films,66,23425
m/10009980-rebound,The Rebound,R,COMEDY,Bart Freundlich,2009-02-06,2013-09-01,97,Momentum Picutres,46,31189
m/10009992-ripple_effect,Ripple Effect,R,DRAMA,Philippe Caland,2008-07-11,2015-11-19,83,Monterey Media,,
m/1000_times_good_night,"1,000 Times Good Night",NR,DRAMA,Erik Poppe,2014-10-24,2016-08-10,117,Film Movement,65,1884
m/10010011-harold,Harold,PG-13,COMEDY,T. Sean Shannon,2008-07-11,2017-01-01,94,Arsenal Pictures,41,793
m/10010066-push,Push,PG-13,SCIENCE FICTION & FANTASY,Paul McGuigan,2009-02-06,2015-12-19,111,Summit Entertainment,42,2026452
m/10010077-felon,Felon,R,ACTION & ADVENTURE,Ric Roman Waugh,2008-07-17,2013-01-01,104,Sony Pictures Entertainment,82,13899
m/10010131-scar,Scar,R,DRAMA,Jed Weintrob,2007-05-20,2016-11-18,78,Unknown,11,689
m/10010150-unborn,The Unborn,PG-13,HORROR,David S. Goyer,2009-01-09,2015-05-08,88,Rogue Pictures,30,831848
m/10010153-bitch_slap,Bitch Slap,R,ACTION & ADVENTURE,Rick Jacobson,2010-01-08,2014-02-01,104,Freestyle Releasing,29,10344
m/10010155-forever_strong,Forever Strong,PG-13,DRAMA,Ryan Little,2008-09-26,2016-11-30,112,Crane Movie Company,75,9885
m/10010208-chocolate,Chocolate,R,ACTION & ADVENTURE,Prachya Pinkaew,2008-02-06,2017-03-09,110,Magnolia Pictures,73,12249
m/10010214-fireproof,Fireproof,PG,DRAMA,Alex Kendrick,2008-09-26,2012-04-16,122,Sherwood Pictures,82,39765
m/10010229-dostana,Dostana,R,COMEDY,"Tarun Mansukhani, Raj Khosla",2008-11-13,2017-03-08,145,Yash Raj Films,68,4448
m/10010329-splinter,Splinter,R,HORROR,Toby Wilkins,2008-10-31,2015-03-19,82,Magnolia Pictures/Magnet Pictures,49,13218
m/10010334-leaves_of_grass,Leaves of Grass,R,COMEDY,Tim Blake Nelson,2010-04-02,2017-01-25,104,First Look Studios,49,15345
m/10010335-rab_ne_bana_di_jodi,Rab Ne Bana Di Jodi (A Couple Made by God) (A Match Made in Heaven),NR,ROMANCE,Aditya Chopra,2008-12-11,,96,Yash Raj Films,71,4363
m/10010458-proposal,The Proposal,PG-13,COMEDY,Anne Fletcher,2009-06-19,2015-11-22,108,Walt Disney Pictures,67,860325
m/10010552-gigantic,Gigantic,R,COMEDY,Matt Aselton,2009-04-03,2017-05-03,99,First Independent Pictures,34,97063
m/1001063-anna_karenina,Anna Karenina,NR,DRAMA,Clarence Brown,1935-01-01,2008-08-04,95,WARNER BROTHERS PICTURES,69,3066
m/10010658-orphan,Orphan,R,DRAMA,Jaume Collet-Serra,2009-07-24,2014-07-24,123,Warner Bros. Pictures,63,872860
m/10010662-my_sisters_keeper,My Sister's Keeper,PG-13,DRAMA,,2009-06-26,2014-05-15,108,Warner Bros. Pictures,72,365345
m/10010667-hangover,The Hangover,R,COMEDY,Todd Phillips,2009-06-05,2014-01-07,99,Warner Bros. Pictures,84,943179
m/10010668-stepfather,The Stepfather,PG-13,HORROR,Nelson McCormick,2009-10-16,2013-04-09,101,Screen Gems,35,982237
m/10010675-departures,Okuribito (Departures),PG-13,DRAMA,Yojiro Takita,2009-05-29,2016-12-22,130,Regent Releasing,92,51962
m/10010680-boogie,Boogie (Summer Holiday),NR,COMEDY,Radu Muntean,2008-05-16,2016-11-28,102,IFC Films,67,354
m/10010694-season_of_the_witch,Season of the Witch,PG-13,ACTION & ADVENTURE,Dominic Sena,2011-01-07,2011-06-23,95,Relativity Media,30,79868
m/10010760-miss_march,Miss March,R,COMEDY,"Zach Cregger, Trevor Moore",2009-03-13,2015-11-25,89,20th Century Fox,29,79384
m/10010782-american_affair,An American Affair,R,DRAMA,"William Olsson, William Sten Olsson",2009-02-27,2016-08-10,93,Screen Media Films,41,1722
